figure,panel,suite,method,metric,unit,estimand,mean,ci95_low,ci95_high,n_blocks,n_evaluable_scenarios
3,b,stress,MaxWeight,phase_surge_queue_overflow_packet_probability,%,mean,3.4403994678367233,3.199118152215474,3.681680783457973,10,720
3,b,stress,MaxWeight,phase_degradation_queue_overflow_packet_probability,%,mean,9.272190457044784,8.909908727190833,9.634472186898735,10,720
3,b,stress,MaxWeight,phase_recovery_queue_overflow_packet_probability,%,mean,8.223368470966696,7.790973038823813,8.655763903109579,10,720
3,b,stress,WeightedMaxWeight,phase_pre_surge_queue_overflow_packet_probability,%,mean,0.01364438497338856,0.003980682996943692,0.023308086949833426,10,720
3,b,stress,WeightedMaxWeight,phase_surge_queue_overflow_packet_probability,%,mean,2.096300166460079,1.9292610983679697,2.263339234552188,10,720
3,b,stress,WeightedMaxWeight,phase_degradation_queue_overflow_packet_probability,%,mean,10.159224469199977,9.678635399200575,10.639813539199379,10,720
3,b,stress,WeightedMaxWeight,phase_recovery_queue_overflow_packet_probability,%,mean,8.637528148582998,8.298179255481706,8.97687704168429,10,720
3,b,stress,EDF,phase_pre_surge_queue_overflow_packet_probability,%,mean,0.002239273072606406,-0.0011454362096422663,0.005623982354855079,10,720
3,b,stress,EDF,phase_surge_queue_overflow_packet_probability,%,mean,2.3304643494215,2.0979225851836683,2.5630061136593314,10,720
3,b,stress,EDF,phase_degradation_queue_overflow_packet_probability,%,mean,8.112114097752734,7.668010744005319,8.55621745150015,10,720
3,b,stress,EDF,phase_recovery_queue_overflow_packet_probability,%,mean,7.244714831072407,6.892436975884036,7.596992686260779,10,720
3,b,stress,LyapunovDPP-Energy,phase_pre_surge_queue_overflow_packet_probability,%,mean,0.057362639054108766,0.02872630732933719,0.08599897077888034,10,720
3,b,stress,LyapunovDPP-Energy,phase_surge_queue_overflow_packet_probability,%,mean,3.7750046305615697,3.5226353521652602,4.027373908957879,10,720
3,b,stress,LyapunovDPP-Energy,phase_degradation_queue_overflow_packet_probability,%,mean,9.664639071018762,9.289246733901559,10.040031408135965,10,720
3,b,stress,LyapunovDPP-Energy,phase_recovery_queue_overflow_packet_probability,%,mean,8.272927944887234,7.760333312747658,8.78552257702681,10,720
3,b,stress,SASP,phase_pre_surge_queue_overflow_packet_probability,%,mean,0.0,0.0,0.0,10,720
3,b,stress,SASP,phase_surge_queue_overflow_packet_probability,%,mean,1.0302014889940176,0.876691724829197,1.1837112531588383,10,720
3,b,stress,SASP,phase_degradation_queue_overflow_packet_probability,%,mean,4.153055767291876,3.7723508067801124,4.5337607278036405,10,720
3,b,stress,SASP,phase_recovery_queue_overflow_packet_probability,%,mean,2.320204922963595,2.073842652059836,2.5665671938673538,10,720
3,c,stress,MaxRateMatching,phase_pre_surge_deadline_expiration_class0_by_arrival_cohort,%,mean,0.14701503523844286,0.058586651268096174,0.23544341920878956,10,720
3,c,stress,MaxRateMatching,phase_surge_deadline_expiration_class0_by_arrival_cohort,%,mean,1.0031209425722007,0.8515978898747338,1.1546439952696677,10,720
3,c,stress,MaxRateMatching,phase_degradation_deadline_expiration_class0_by_arrival_cohort,%,mean,19.939265327890904,19.189395101653435,20.689135554128374,10,720
3,c,stress,MaxRateMatching,phase_recovery_deadline_expiration_class0_by_arrival_cohort,%,mean,5.86090586122383,5.4618724199273,6.25993930252036,10,720
3,c,stress,MaxWeight,phase_pre_surge_deadline_expiration_class0_by_arrival_cohort,%,mean,0.5605953611299157,0.4112201584755707,0.7099705637842607,10,720
3,c,stress,MaxWeight,phase_surge_deadline_expiration_class0_by_arrival_cohort,%,mean,13.249531029430411,12.405462435446168,14.093599623414654,10,720
3,c,stress,MaxWeight,phase_degradation_deadline_expiration_class0_by_arrival_cohort,%,mean,30.632412306563243,29.868440730619106,31.39638388250738,10,720
3,c,stress,MaxWeight,phase_recovery_deadline_expiration_class0_by_arrival_cohort,%,mean,11.188422590437536,10.673038729178726,11.703806451696346,10,720
3,c,stress,WeightedMaxWeight,phase_pre_surge_deadline_expiration_class0_by_arrival_cohort,%,mean,0.13329170928323114,0.07003132626366312,0.19655209230279916,10,720
3,c,stress,WeightedMaxWeight,phase_surge_deadline_expiration_class0_by_arrival_cohort,%,mean,4.611337707590328,4.303670648404045,4.919004766776612,10,720
3,c,stress,WeightedMaxWeight,phase_degradation_deadline_expiration_class0_by_arrival_cohort,%,mean,23.688272578681772,22.782963518474915,24.59358163888863,10,720
