suite,method,metric,mean,ci95_low,ci95_high,n_blocks,n_evaluable_scenarios
stress,LyapunovDPP-Energy,queue_overflow_packet_probability,0.04992850143963103,0.048025400142933876,0.05183160273632819,10,720
stress,LyapunovDPP-Energy,deadline_expiration_class0,0.1480993429306897,0.143398308142012,0.1528003777193674,10,719
stress,LyapunovDPP-Energy,deadline_expiration_class1,0.0741623384887948,0.0726142219680155,0.07571045500957412,10,720
stress,LyapunovDPP-Energy,deadline_expiration_class2,0.023033716359859437,0.021496880504358454,0.02457055221536042,10,720
stress,LyapunovDPP-Energy,energy_j,0.07678671589086183,0.07641807418634262,0.07715535759538104,10,720
stress,LyapunovDPP-Energy,total_packet_failure_probability,0.15595249570696257,0.1505765529408541,0.16132843847307105,10,720
stress,LyapunovDPP-Energy,throughput_mbps,3.635203852495809,3.618095172013133,3.6523125329784847,10,720
stress,LyapunovDPP-Energy,controller_median_ms,1.9726069444444445,1.946043055905807,1.999170832983082,10,720
stress,LyapunovDPP-Energy,controller_p95_ms,2.7390968749999987,2.6158483898527547,2.8623453601472426,10,720
ablation,SASP,cohort_goodput_mbps,4.175347222222223,4.103402842097542,4.2472916023469045,5,120
ablation,SASP,queue_overflow_packet_probability,0.01592801828988465,0.00882301651044837,0.02303302006932093,5,120
ablation,SASP,deadline_expiration_class0,0.003558306263567689,0.001794448948982053,0.005322163578153325,5,120
ablation,SASP,deadline_expiration_class1,0.0038093910964371465,0.002321246638842745,0.005297535554031548,5,120
ablation,SASP,deadline_expiration_class2,0.003861520563295871,0.000230082306769663,0.007492958819822079,5,120
ablation,SASP,energy_j,0.09738748656605148,0.09451374173452154,0.10026123139758142,5,120
ablation,SASP,total_packet_failure_probability,0.019567366680765967,0.010943079189771625,0.02819165417176031,5,120
ablation,SASP,throughput_mbps,3.728244346982361,3.6882321604437642,3.768256533520958,5,120
ablation,SASP,controller_median_ms,6.271140833333333,5.908534044770114,6.633747621896552,5,120
ablation,SASP,controller_p95_ms,8.438338249999997,8.036670037764747,8.840006462235248,5,120
ablation,SASP-NoPredictedService,cohort_goodput_mbps,1.5426712962962963,1.5117445810869166,1.573598011505676,5,120
ablation,SASP-NoPredictedService,queue_overflow_packet_probability,0.1982931783244288,0.18817530361410306,0.20841105303475455,5,120
ablation,SASP-NoPredictedService,deadline_expiration_class0,0.411092518408244,0.4013686517737846,0.4208163850427034,5,120
ablation,SASP-NoPredictedService,deadline_expiration_class1,0.3512521599094417,0.33584919730028046,0.36665512251860294,5,120
ablation,SASP-NoPredictedService,deadline_expiration_class2,0.46762073435192775,0.4461437353717983,0.4890977333320572,5,120
ablation,SASP-NoPredictedService,energy_j,0.059662106442934314,0.059597352414809325,0.0597268604710593,5,120
ablation,SASP-NoPredictedService,total_packet_failure_probability,0.5948343256939875,0.5817538702211085,0.6079147811668666,5,120
ablation,SASP-NoPredictedService,throughput_mbps,1.5745469998896806,1.5511580855446603,1.597935914234701,5,120
ablation,SASP-NoPredictedService,controller_median_ms,7.638412499999999,7.525852978279475,7.750972021720524,5,120
ablation,SASP-NoPredictedService,controller_p95_ms,9.74583183333333,9.547999044407296,9.943664622259364,5,120
ablation,SASP-NoVirtualQueue,cohort_goodput_mbps,4.14525925925926,4.08455435438704,4.205964164131479,5,120
ablation,SASP-NoVirtualQueue,queue_overflow_packet_probability,0.019153244806323015,0.010864052972545935,0.027442436640100095,5,120
ablation,SASP-NoVirtualQueue,deadline_expiration_class0,0.002840149617960043,0.0004969829100095842,0.005183316325910502,5,120
ablation,SASP-NoVirtualQueue,deadline_expiration_class1,0.004867476780430981,0.002557540366716566,0.0071774131941453965,5,120
ablation,SASP-NoVirtualQueue,deadline_expiration_class2,0.008912128580763477,0.002868096560867609,0.014956160600659345,5,120
ablation,SASP-NoVirtualQueue,energy_j,0.09778360595057538,0.0948573464335417,0.10070986546760906,5,120
ablation,SASP-NoVirtualQueue,total_packet_failure_probability,0.023296456764256714,0.01258899833444944,0.03400391519406399,5,120
ablation,SASP-NoVirtualQueue,throughput_mbps,3.7610774363984127,3.719079756452687,3.8030751163441385,5,120
ablation,SASP-NoVirtualQueue,controller_median_ms,5.749037499999999,5.4877512425526485,6.01032375744735,5,120
ablation,SASP-NoVirtualQueue,controller_p95_ms,8.038216666666663,7.679492171258771,8.396941162074555,5,120
ablation,SASP-NoCriticalCoverage,cohort_goodput_mbps,4.172763888888889,4.0995347092699435,4.245993068507835,5,120
ablation,SASP-NoCriticalCoverage,queue_overflow_packet_probability,0.01609323601133027,0.009154381915524722,0.02303209010713582,5,120
ablation,SASP-NoCriticalCoverage,deadline_expiration_class0,0.003092097655558553,0.0012776046152144812,0.004906590695902624,5,120
ablation,SASP-NoCriticalCoverage,deadline_expiration_class1,0.00398827585823779,0.001858797676387061,0.006117754040088519,5,120
ablation,SASP-NoCriticalCoverage,deadline_expiration_class2,0.00462495667151417,0.001046773940450029,0.008203139402578311,5,120
ablation,SASP-NoCriticalCoverage,energy_j,0.097432040900881,0.09457470652863856,0.10028937527312345,5,120
ablation,SASP-NoCriticalCoverage,total_packet_failure_probability,0.01962509363141524,0.010861043874151911,0.028389143388678567,5,120
ablation,SASP-NoCriticalCoverage,throughput_mbps,3.7277681147940243,3.68517364567509,3.7703625839129584,5,120
ablation,SASP-NoCriticalCoverage,controller_median_ms,6.196203333333334,5.787697017981979,6.604709648684689,5,120
ablation,SASP-NoCriticalCoverage,controller_p95_ms,8.260722166666664,7.593723731241026,8.927720602092302,5,120
ablation,SASP-GreedyAssignment,cohort_goodput_mbps,4.097236111111111,4.0365464049859865,4.157925817236236,5,120
ablation,SASP-GreedyAssignment,queue_overflow_packet_probability,0.024207466025579934,0.016193523169192175,0.03222140888196769,5,120
ablation,SASP-GreedyAssignment,deadline_expiration_class0,0.00698124623630586,0.004522785177479789,0.009439707295131931,5,120
ablation,SASP-GreedyAssignment,deadline_expiration_class1,0.007954357389689245,0.004716014656969643,0.011192700122408847,5,120
ablation,SASP-GreedyAssignment,deadline_expiration_class2,0.0155510120103193,0.010378460547687676,0.020723563472950925,5,120
ablation,SASP-GreedyAssignment,energy_j,0.09959850023499198,0.09649864712119373,0.10269835334879023,5,120
ablation,SASP-GreedyAssignment,total_packet_failure_probability,0.032342535304109056,0.022324946613036058,0.042360123995182054,5,120
